model_key,N,question_type,answer,ground_truth,label,sub_label,ambiguous
llama,12,trajectory,0,4,wrong_timestep,missed,True
llama,12,person_timestep_lookup,11,0,wrong_person,,False
llama,12,person_timestep_lookup,0,6,wrong_person,sign_flipped,True
llama,12,person_timestep_lookup,10,9,single_transfer,doubled,False
llama,12,person_timestep_lookup,1,0,stale,doubled,True
llama,12,trajectory,15,16,stale,missed,True
llama,12,person_timestep_lookup,4,0,stale,sign_flipped,True
llama,12,person_timestep_lookup,1,5,wrong_person,,True
llama,12,trajectory,4,17,stale,,True
llama,12,person_timestep_lookup,4,3,wrong_person,missed,True
llama,12,trajectory,5,13,wrong_person,missed,True
llama,12,person_timestep_lookup,20,9,unexplained,,False
llama,12,trajectory,8,6,unexplained,,False
llama,12,person_timestep_lookup,0,5,wrong_person,doubled,True
llama,12,trajectory,5,0,wrong_person,missed,True
llama,12,person_timestep_lookup,1,9,unexplained,,False
llama,12,trajectory,5,1,stale,missed,True
llama,12,person_timestep_lookup,21,14,single_transfer,doubled,False
llama,12,person_timestep_lookup,1,0,stale,,True
llama,12,person_timestep_lookup,18,12,stale,,True
llama,12,person_timestep_lookup,1,0,stale,missed,True
llama,12,trajectory,6,2,unexplained,,False
llama,12,person_timestep_lookup,1,0,stale,missed,True
llama,12,trajectory,2,1,stale,doubled,True
llama,12,person_timestep_lookup,8,21,stale,,True
llama,12,trajectory,1,4,stale,,True
llama,12,person_timestep_lookup,14,9,wrong_timestep,,False
llama,12,trajectory,12,6,stale,,True
llama,12,trajectory,8,9,wrong_timestep,missed,True
llama,12,person_timestep_lookup,16,2,single_transfer,sign_flipped,False
llama,12,trajectory,2,3,stale,doubled,True
llama,12,person_timestep_lookup,25,6,unexplained,,False
llama,12,trajectory,3,0,wrong_person,missed,True
llama,12,person_timestep_lookup,2,1,stale,doubled,True
llama,12,trajectory,3,1,stale,missed,True
llama,12,person_timestep_lookup,8,10,wrong_timestep,,False
llama,12,trajectory,3,0,wrong_person,missed,True
llama,16,person_timestep_lookup,10,1,wrong_timestep,,False
llama,16,person_timestep_lookup,2,4,wrong_person,doubled,True
llama,16,trajectory,8,0,stale,missed,True
llama,16,trajectory,2,1,wrong_timestep,doubled,True
llama,16,person_timestep_lookup,5,11,wrong_person,,True
llama,16,trajectory,9,14,stale,,True
llama,16,person_timestep_lookup,1,9,stale,,True
llama,16,person_timestep_lookup,6,4,wrong_person,doubled,True
llama,16,person_timestep_lookup,10,7,unexplained,,False
llama,16,trajectory,16,17,stale,doubled,True
llama,16,person_timestep_lookup,10,3,wrong_timestep,missed,True
llama,16,trajectory,6,2,wrong_timestep,missed,True
llama,16,person_timestep_lookup,11,6,single_transfer,doubled,False
llama,16,trajectory,18,8,wrong_timestep,missed,True
llama,16,person_timestep_lookup,7,22,unexplained,,False
llama,16,person_timestep_lookup,13,1,wrong_timestep,sign_flipped,True
llama,16,trajectory,3,1,wrong_timestep,doubled,True
llama,16,person_timestep_lookup,13,8,single_transfer,missed,False
llama,16,trajectory,2,0,wrong_person,sign_flipped,True
llama,16,person_timestep_lookup,0,2,wrong_person,missed,True
llama,16,trajectory,1,7,stale,,True
llama,16,person_timestep_lookup,6,2,wrong_person,sign_flipped,True
llama,16,trajectory,6,5,wrong_timestep,missed,True
llama,16,person_timestep_lookup,4,0,stale,,True
llama,16,person_timestep_lookup,3,4,stale,doubled,True
llama,16,trajectory,2,1,stale,doubled,True
llama,16,person_timestep_lookup,5,0,wrong_person,,True
llama,16,trajectory,2,9,wrong_person,missed,True
llama,16,person_timestep_lookup,4,6,stale,missed,True
llama,16,person_timestep_lookup,5,10,single_transfer,doubled,False
llama,16,trajectory,17,6,wrong_timestep,missed,True
llama,16,person_timestep_lookup,4,16,stale,,True
llama,16,trajectory,4,8,wrong_person,sign_flipped,True
llama,16,person_timestep_lookup,7,5,single_transfer,missed,False
llama,16,trajectory,8,16,wrong_person,missed,True
llama,16,person_timestep_lookup,21,11,single_transfer,sign_flipped,False
llama,16,trajectory,6,4,stale,,True
llama,16,person_timestep_lookup,2,3,stale,doubled,True
llama,16,trajectory,2,10,stale,missed,True
llama,16,person_timestep_lookup,10,6,wrong_timestep,sign_flipped,True
llama,16,trajectory,10,3,wrong_person,,False
llama,16,person_timestep_lookup,11,8,unexplained,,False
llama,16,trajectory,13,4,single_transfer,missed,False
llama,16,person_timestep_lookup,5,1,wrong_person,missed,True
llama,16,trajectory,1,3,stale,missed,True
llama,20,person_timestep_lookup,5,0,wrong_person,doubled,True
llama,20,trajectory,17,20,stale,missed,True
llama,20,person_timestep_lookup,5,9,stale,missed,True
llama,20,trajectory,8,21,unexplained,,False
llama,20,person_timestep_lookup,4,2,single_transfer,sign_flipped,False
llama,20,trajectory,7,6,wrong_person,missed,True
llama,20,person_timestep_lookup,6,19,stale,,True
llama,20,trajectory,7,4,stale,missed,True
llama,20,person_timestep_lookup,5,11,unexplained,,False
llama,20,person_timestep_lookup,11,2,unexplained,,False
llama,20,person_timestep_lookup,3,5,stale,missed,True
llama,20,trajectory,7,5,wrong_timestep,,False
llama,20,person_timestep_lookup,0,32,wrong_person,,True
llama,20,trajectory,9,8,wrong_timestep,,False
llama,20,person_timestep_lookup,0,1,wrong_person,missed,True
llama,20,trajectory,4,0,stale,,True
llama,20,person_timestep_lookup,2,0,stale,sign_flipped,True
llama,20,trajectory,3,6,wrong_person,,False
llama,20,person_timestep_lookup,4,0,wrong_person,missed,True
llama,20,trajectory,16,0,stale,,True
llama,20,person_timestep_lookup,7,1,single_transfer,sign_flipped,False
llama,20,trajectory,2,1,stale,doubled,True
llama,20,person_timestep_lookup,3,9,stale,missed,True
llama,20,person_timestep_lookup,4,13,wrong_person,doubled,True
llama,20,trajectory,9,3,stale,,True
llama,20,person_timestep_lookup,7,0,single_transfer,missed,False
llama,20,person_timestep_lookup,1,26,wrong_person,,True
llama,20,trajectory,1,0,wrong_person,missed,True
llama,20,person_timestep_lookup,16,3,wrong_person,,False
llama,20,person_timestep_lookup,0,19,wrong_person,,True
llama,20,trajectory,21,22,wrong_timestep,missed,True
llama,20,person_timestep_lookup,5,2,stale,doubled,True
llama,20,trajectory,3,7,stale,missed,True
llama,20,person_timestep_lookup,6,16,wrong_person,sign_flipped,True
llama,20,person_timestep_lookup,5,4,stale,,True
llama,20,trajectory,17,20,stale,missed,True
llama,20,person_timestep_lookup,4,9,wrong_person,,True
llama,20,trajectory,1,0,stale,missed,True
llama,20,person_timestep_lookup,4,7,wrong_person,,True
llama,20,trajectory,11,7,stale,,True
llama,20,trajectory,16,7,stale,missed,True
llama,20,person_timestep_lookup,0,1,wrong_person,missed,True
llama,20,trajectory,2,4,stale,missed,True
llama,20,person_timestep_lookup,2,8,stale,sign_flipped,True
llama,20,person_timestep_lookup,10,13,unexplained,,False
llama,24,person_timestep_lookup,2,4,stale,doubled,True
llama,24,trajectory,5,0,wrong_person,,False
llama,24,person_timestep_lookup,5,1,wrong_person,missed,True
llama,24,trajectory,5,12,wrong_person,missed,True
llama,24,person_timestep_lookup,4,3,wrong_person,missed,True
llama,24,person_timestep_lookup,8,0,single_transfer,doubled,False
llama,24,person_timestep_lookup,20,11,single_transfer,doubled,False
llama,24,person_timestep_lookup,19,14,unexplained,,False
llama,24,trajectory,1,3,stale,sign_flipped,True
llama,24,person_timestep_lookup,13,6,stale,,True
llama,24,trajectory,4,3,stale,,True
llama,24,person_timestep_lookup,6,0,wrong_person,missed,True
llama,24,person_timestep_lookup,10,4,single_transfer,sign_flipped,False
llama,24,trajectory,4,1,stale,,True
llama,24,person_timestep_lookup,6,0,wrong_person,missed,True
llama,24,person_timestep_lookup,19,9,unexplained,,False
llama,24,person_timestep_lookup,3,12,stale,,True
llama,24,person_timestep_lookup,7,2,wrong_person,,False
llama,24,person_timestep_lookup,34,16,single_transfer,sign_flipped,False
llama,24,trajectory,2,0,wrong_person,sign_flipped,True
llama,24,person_timestep_lookup,1,0,stale,missed,True
llama,24,trajectory,18,4,wrong_person,,False
llama,24,person_timestep_lookup,9,0,wrong_person,doubled,True
llama,24,trajectory,9,10,wrong_timestep,missed,True
llama,24,person_timestep_lookup,3,2,stale,doubled,True
llama,24,person_timestep_lookup,14,3,single_transfer,doubled,False
llama,24,trajectory,0,4,wrong_person,missed,True
llama,24,person_timestep_lookup,10,8,single_transfer,sign_flipped,False
llama,24,person_timestep_lookup,1,0,stale,doubled,True
llama,24,trajectory,2,0,wrong_person,missed,True
llama,24,person_timestep_lookup,4,9,wrong_person,doubled,True
llama,24,person_timestep_lookup,14,0,unexplained,,False
llama,24,person_timestep_lookup,2,0,stale,missed,True
llama,24,trajectory,4,1,wrong_person,,True
llama,24,person_timestep_lookup,8,5,single_transfer,missed,False
llama,24,person_timestep_lookup,0,3,wrong_person,missed,True
llama,24,trajectory,2,1,wrong_person,missed,True
llama,24,person_timestep_lookup,1,4,stale,,True
llama,24,trajectory,5,6,wrong_person,,False
llama,24,person_timestep_lookup,11,0,wrong_timestep,missed,True
llama,24,person_timestep_lookup,2,0,stale,sign_flipped,True
llama,24,person_timestep_lookup,4,0,wrong_person,sign_flipped,True
llama,30,person_timestep_lookup,5,4,wrong_person,missed,True
llama,30,person_timestep_lookup,8,6,wrong_person,sign_flipped,True
llama,30,trajectory,3,1,wrong_person,sign_flipped,True
llama,30,person_timestep_lookup,4,1,stale,missed,True
llama,30,person_timestep_lookup,28,33,stale,missed,True
llama,30,person_timestep_lookup,0,10,wrong_person,sign_flipped,True
llama,30,person_timestep_lookup,12,8,stale,sign_flipped,True
llama,30,person_timestep_lookup,5,0,wrong_timestep,doubled,True
llama,30,person_timestep_lookup,7,0,wrong_person,missed,True
llama,30,person_timestep_lookup,1,0,wrong_person,missed,True
llama,30,person_timestep_lookup,1,3,stale,sign_flipped,True
llama,30,trajectory,14,16,wrong_timestep,missed,True
llama,30,person_timestep_lookup,19,7,single_transfer,sign_flipped,False
llama,30,person_timestep_lookup,19,1,single_transfer,sign_flipped,False
llama,30,person_timestep_lookup,7,5,wrong_person,sign_flipped,True
llama,30,person_timestep_lookup,5,0,wrong_person,doubled,True
llama,30,person_timestep_lookup,1,0,stale,doubled,True
llama,30,person_timestep_lookup,7,0,stale,missed,True
llama,30,person_timestep_lookup,1,6,stale,missed,True
llama,30,person_timestep_lookup,2,3,stale,doubled,True
llama,30,person_timestep_lookup,34,7,unexplained,,False
llama,30,person_timestep_lookup,0,2,wrong_person,sign_flipped,True
llama,30,person_timestep_lookup,22,6,stale,,True
llama,30,person_timestep_lookup,0,1,wrong_person,missed,True
llama,30,person_timestep_lookup,1,0,stale,missed,True
llama,30,trajectory,16,0,unexplained,,False
llama,30,person_timestep_lookup,11,0,unexplained,,False
llama,30,person_timestep_lookup,10,6,wrong_person,sign_flipped,True
llama,30,person_timestep_lookup,3,5,stale,missed,True
llama,30,person_timestep_lookup,0,8,wrong_person,sign_flipped,True
mistral,2,person_timestep_lookup,0,2,wrong_timestep,missed,True
mistral,2,trajectory,0,2,wrong_timestep,missed,True
mistral,2,person_timestep_lookup,5,8,unexplained,,False
mistral,2,trajectory,3,4,single_transfer,missed,False
mistral,2,person_timestep_lookup,6,8,single_transfer,missed,False
mistral,2,trajectory,12,2,unexplained,,False
mistral,2,trajectory,4,3,wrong_timestep,missed,True
mistral,2,person_timestep_lookup,7,4,stale,missed,True
mistral,2,trajectory,7,6,unexplained,,False
mistral,2,person_timestep_lookup,2,3,single_transfer,doubled,False
mistral,2,person_timestep_lookup,9,1,wrong_person,,False
mistral,2,trajectory,3,0,unexplained,,False
mistral,2,person_timestep_lookup,9,6,wrong_timestep,missed,True
mistral,2,trajectory,1,4,wrong_timestep,missed,True
mistral,2,person_timestep_lookup,7,10,stale,,True
mistral,2,trajectory,2,0,wrong_timestep,sign_flipped,True
mistral,2,person_timestep_lookup,5,9,stale,missed,True
mistral,2,trajectory,4,6,wrong_person,,False
mistral,2,person_timestep_lookup,5,10,stale,missed,True
mistral,2,trajectory,0,10,wrong_person,sign_flipped,True
mistral,2,person_timestep_lookup,0,3,single_transfer,missed,False
mistral,2,person_timestep_lookup,5,6,stale,missed,True
mistral,2,trajectory,4,5,single_transfer,missed,False
mistral,2,person_timestep_lookup,2,0,stale,missed,True
mistral,2,person_timestep_lookup,2,0,single_transfer,sign_flipped,False
mistral,2,trajectory,1,0,stale,missed,True
mistral,2,person_timestep_lookup,1,2,single_transfer,doubled,False
mistral,2,trajectory,9,10,single_transfer,missed,False
mistral,2,trajectory,6,8,single_transfer,missed,False
mistral,2,person_timestep_lookup,14,3,unexplained,,False
mistral,2,trajectory,14,3,unexplained,,False
mistral,2,trajectory,11,4,unexplained,,False
mistral,2,person_timestep_lookup,3,5,single_transfer,doubled,False
mistral,2,trajectory,20,0,single_transfer,sign_flipped,False
mistral,2,person_timestep_lookup,8,9,single_transfer,doubled,False
mistral,2,trajectory,0,1,single_transfer,missed,False
mistral,2,person_timestep_lookup,17,8,unexplained,,False
mistral,2,trajectory,12,3,unexplained,,False
mistral,2,person_timestep_lookup,3,10,single_transfer,missed,False
mistral,2,person_timestep_lookup,8,9,stale,missed,True
mistral,2,person_timestep_lookup,7,4,stale,doubled,True
mistral,2,person_timestep_lookup,6,4,stale,,True
mistral,2,trajectory,2,4,unexplained,,False
mistral,2,person_timestep_lookup,5,9,unexplained,,False
mistral,2,trajectory,5,2,unexplained,,False
mistral,2,trajectory,11,9,unexplained,,False
mistral,2,person_timestep_lookup,0,4,single_transfer,missed,False
mistral,2,person_timestep_lookup,8,10,stale,missed,True
mistral,4,person_timestep_lookup,15,8,single_transfer,missed,False
mistral,4,trajectory,2,4,stale,missed,True
mistral,4,person_timestep_lookup,2,5,stale,,True
mistral,4,trajectory,3,9,stale,,True
mistral,4,person_timestep_lookup,0,5,wrong_person,,False
mistral,4,trajectory,2,9,wrong_person,missed,True
mistral,4,person_timestep_lookup,5,1,wrong_person,missed,True
mistral,4,trajectory,6,2,stale,,True
